title,link,published,summary
"Angka Golput Pilkada Jakarta Tinggi, Perludem: Calonnya Tak Sesuai Aspirasi Masyarakat",https://nasional.tempo.co/read/1946919/angka-golput-pilkada-jakarta-tinggi-perludem-calonnya-tak-sesuai-aspirasi-masyarakat,"Fri, 29 Nov 2024 14:58:00 +0700",Perludem menilai tingginya angka golput Pilkada Jakarta disebabkan oleh ketidaksesuaian aspirasi masyarakat dengan calon yang diusung partai.
Kemenhan-KKP Kolaborasi Bangun Kawasan Pertahanan dan Perikanan di Pulau Morotai,https://nasional.tempo.co/read/1946900/kemenhan-kkp-kolaborasi-bangun-kawasan-pertahanan-dan-perikanan-di-pulau-morotai,"Fri, 29 Nov 2024 14:09:00 +0700",Pulau Morotai terbilang cukup strategis untuk dijadikan kawasan pertahanan.
Sampul dan Liputan Tempo tentang Judi Online Sesuai Kode Etik Jurnalistik,https://nasional.tempo.co/read/1946896/sampul-dan-liputan-tempo-tentang-judi-online-sesuai-kode-etik-jurnalistik,"Fri, 29 Nov 2024 13:53:37 +0700",Dewan Pers menyatakan sampul dan liputan judi online bergambar Budi Arie Setiadi tak melanggar kode etik jurnalistik.
Pengamat: Pilkada Kota Banjarbaru Harusnya Lawan Kotak Kosong,https://nasional.tempo.co/read/1946881/pengamat-pilkada-kota-banjarbaru-harusnya-lawan-kotak-kosong,"Fri, 29 Nov 2024 13:13:00 +0700",Paslon yang telah didiskualifikasi dalam Pilkada Kota Banjarbaru memeroleh suara terbanyak.
"53 Tahun BP Batam, Ada Pegawai yang Terlibat penyelundupan Pekerja Migran Ilegal",https://nasional.tempo.co/read/1946873/53-tahun-bp-batam-ada-pegawai-yang-terlibat-penyelundupan-pekerja-migran-ilegal,"Fri, 29 Nov 2024 13:00:31 +0700",ASN BP Batam diduga telah menyelundupkan pekerja migran illegal. Berikut sejarah 53 tahun BP Batam.
Beragam Destinasi Wisata di Sumba Barat Daya,https://nasional.tempo.co/read/1946855/beragam-destinasi-wisata-di-sumba-barat-daya,"Fri, 29 Nov 2024 11:53:31 +0700",Sumba Barat Daya menawarkan perpaduan sempurna antara keindahan alam dan budaya yang kaya.
Pilkada 2024 Serentak: Perbedaan Quick Count dan Real Count,https://nasional.tempo.co/read/1946853/pilkada-2024-serentak-perbedaan-quick-count-dan-real-count,"Fri, 29 Nov 2024 11:44:29 +0700","Real count dan quick count adalah dua metode untuk mengetahui hasil pemilihan umum dan Pilkada 2024, apa bedanya?"
Mensesneg soal Kasetpres Prabowo dari Militer: Kami Paham Track Record Mayjen Ariyo,https://nasional.tempo.co/read/1946849/mensesneg-soal-kasetpres-prabowo-dari-militer-kami-paham-track-record-mayjen-ariyo,"Fri, 29 Nov 2024 11:31:00 +0700",Menteri Sekretaris Negara Prasetyo Hadi menegaskan bahwa Presiden Prabowo Subianto memilih Mayjen TNI Ariyo Windutomo sebagai Kasetpres karena kompetensinya yang dinilai terbaik.
"Usai Pencoblosan, MK Sebut Belum Ada Gugatan Sengketa Pilkada 2024",https://nasional.tempo.co/read/1946836/usai-pencoblosan-mk-sebut-belum-ada-gugatan-sengketa-pilkada-2024,"Fri, 29 Nov 2024 10:51:00 +0700",MK membentuk gugus tugas untuk menangani sengketa pilkada 2024.
"Alwin Kiemas Pelaku Situs Judi Online, PDIP Tegaskan Bukan Keluarga Megawati-Taufiq Kiemas",https://nasional.tempo.co/read/1946837/alwin-kiemas-pelaku-situs-judi-online-pdip-tegaskan-bukan-keluarga-megawati-taufiq-kiemas,"Fri, 29 Nov 2024 10:50:10 +0700",Alwin Kiemas ditetapkan sebagai pelaku jaringan situs judi online. PDIP membantah Alwin ada hubungan keluarga dengan Megawati-Taufiq Kiemas.
Wali Kota Cilegon Apresiasi ASN Bantu Realisasikan Visi-Misi,https://nasional.tempo.co/read/1946833/wali-kota-cilegon-apresiasi-asn-bantu-realisasikan-visi-misi,"Fri, 29 Nov 2024 10:40:00 +0700",Wali Kota Cilegon Helldy Agustian memberikan apresiasi kepada seluruh ASN yang telah bekerja keras  merealisasikan visi dan misi dia selama memimpin kota itu.
"Respons Listyo Sigit, Budi Gunawan, dan Komnas HAM Soal Kasus Polisi Tembak Polisi di Solok Selatan",https://nasional.tempo.co/read/1946830/respons-listyo-sigit-budi-gunawan-dan-komnas-ham-soal-kasus-polisi-tembak-polisi-di-solok-selatan,"Fri, 29 Nov 2024 10:27:08 +0700","Peristiwa polisi tembak polisi di Solok Selatan menjadi sorotan publik. Bagaimana respons Kapolri, Menkopolkam, dan Komnas HAM?"
"Hanya Dapat 33 Persen Suara, Calon Bupati Inkumben Kalah Telak di Pilkada Garut",https://nasional.tempo.co/read/1946828/hanya-dapat-33-persen-suara-calon-bupati-inkumben-kalah-telak-di-pilkada-garut,"Fri, 29 Nov 2024 10:20:04 +0700",Pilkada Kabupaten Garut memberi kejutan dengan kekalahan pasangan calon inkumben Helmi Budiman-Yudi Nugraha.
Cak Imin Sebut Pemerintah Cari Solusi agar Pelayanan Korban Judi Online Ditanggung BPJS,https://nasional.tempo.co/read/1946819/cak-imin-sebut-pemerintah-cari-solusi-agar-pelayanan-korban-judi-online-ditanggung-bpjs,"Fri, 29 Nov 2024 10:12:00 +0700","Cak Imin mengatakan, sejumlah rumah sakit memang sudah merawat korban judi online."
Respons Anggota DPR atas Usulan Menempatkan Polri di Bawah Kementerian,https://nasional.tempo.co/read/1946823/respons-anggota-dpr-atas-usulan-menempatkan-polri-di-bawah-kementerian,"Fri, 29 Nov 2024 10:09:31 +0700",Anggota DPR Nasir Djamil menilai penempatan Polri langsung di Presiden sudah tepat.
